catalog_product_id,target_filename,source,adobe_stock_asset_id,license_type,licensed_via
kiwi,/images/products/kiwi.jpg,Adobe Stock,339874322,standard,asset_license_and_download_stock
limes,/images/products/limes.jpg,Adobe Stock,293686439,standard,asset_license_and_download_stock
oranges,/images/products/oranges.jpg,Adobe Stock,255388326,standard,asset_license_and_download_stock
pineapple,/images/products/pineapple.jpg,Adobe Stock,157541427,standard,asset_license_and_download_stock
raspberries,/images/products/raspberries.jpg,Adobe Stock,92461780,standard,asset_license_and_download_stock
mini-cucumbers,/images/products/mini-cucumbers.jpg,Adobe Stock,494413722,standard,asset_license_and_download_stock
mushrooms,/images/products/mushrooms.jpg,Adobe Stock,86913625,standard,asset_license_and_download_stock
sweet-potato,/images/products/sweet-potato.jpg,Adobe Stock,178444301,standard,asset_license_and_download_stock
tomatoes,/images/products/tomatoes.jpg,Adobe Stock,268054514,standard,asset_license_and_download_stock
zucchini,/images/products/zucchini.jpg,Adobe Stock,268594644,standard,asset_license_and_download_stock
sour-cream,/images/products/sour-cream.jpg,Adobe Stock,361431972,standard,asset_license_and_download_stock
coffee,/images/products/coffee.jpg,Adobe Stock,299660055,standard,asset_license_and_download_stock
juice-boxes,/images/products/juice-boxes.jpg,Adobe Stock,581051378,standard,asset_license_and_download_stock
decaf-tea,/images/products/decaf-tea.jpg,Adobe Stock,246885859,standard,asset_license_and_download_stock
iced-tea,/images/products/iced-tea.jpg,Adobe Stock,330158372,standard,asset_license_and_download_stock
bottled-water,/images/products/bottled-water.jpg,Adobe Stock,270014787,standard,asset_license_and_download_stock
panko-bread-crumbs,/images/products/panko-bread-crumbs.jpg,Adobe Stock,373085726,standard,asset_license_and_download_stock
olive-oil,/images/products/olive-oil.jpg,Adobe Stock,190791613,standard,asset_license_and_download_stock
vegetable-oil,/images/products/vegetable-oil.jpg,Adobe Stock,335465423,standard,asset_license_and_download_stock
chili-powder,/images/products/chili-powder.jpg,Adobe Stock,292288079,standard,asset_license_and_download_stock
fajita-seasoning,/images/products/fajita-seasoning.jpg,Adobe Stock,418733706,standard,asset_license_and_download_stock
mustard-powder,/images/products/mustard-powder.jpg,Adobe Stock,291450749,standard,asset_license_and_download_stock
steak-spice,/images/products/steak-spice.jpg,Adobe Stock,253349934,standard,asset_license_and_download_stock
all-purpose-cleaner,/images/products/all-purpose-cleaner.jpg,Adobe Stock,285972491,standard,asset_license_and_download_stock
bathroom-cleaner,/images/products/bathroom-cleaner.jpg,Adobe Stock,344019987,standard,asset_license_and_download_stock
disinfecting-wipes,/images/products/disinfecting-wipes.jpg,Adobe Stock,185779412,standard,asset_license_and_download_stock
glass-cleaner,/images/products/glass-cleaner.jpg,Adobe Stock,284094807,standard,asset_license_and_download_stock
toilet-bowl-cleaner,/images/products/toilet-bowl-cleaner.jpg,Adobe Stock,461394515,standard,asset_license_and_download_stock
dish-soap,/images/products/dish-soap.jpg,Adobe Stock,500130851,standard,asset_license_and_download_stock
dishwasher-pods,/images/products/dishwasher-pods.jpg,Adobe Stock,359828285,standard,asset_license_and_download_stock
dishwasher-soap,/images/products/dishwasher-soap.jpg,Adobe Stock,216841907,standard,asset_license_and_download_stock
fabric-softener,/images/products/fabric-softener.jpg,Adobe Stock,624594149,standard,asset_license_and_download_stock
laundry-detergent,/images/products/laundry-detergent.jpg,Adobe Stock,205636528,standard,asset_license_and_download_stock
laundry-pods,/images/products/laundry-pods.jpg,Adobe Stock,572196898,standard,asset_license_and_download_stock
stain-remover,/images/products/stain-remover.jpg,Adobe Stock,526795399,standard,asset_license_and_download_stock
paper-towels,/images/products/paper-towels.jpg,Adobe Stock,381435358,standard,asset_license_and_download_stock
toilet-paper,/images/products/toilet-paper.jpg,Adobe Stock,106483417,standard,asset_license_and_download_stock
body-wash,/images/products/body-wash.jpg,Adobe Stock,348966541,standard,asset_license_and_download_stock
conditioner,/images/products/conditioner.jpg,Adobe Stock,596296724,standard,asset_license_and_download_stock
deodorant,/images/products/deodorant.jpg,Adobe Stock,416521541,standard,asset_license_and_download_stock
hand-soap,/images/products/hand-soap.jpg,Adobe Stock,388760778,standard,asset_license_and_download_stock
razors,/images/products/razors.jpg,Adobe Stock,375942436,standard,asset_license_and_download_stock
shampoo,/images/products/shampoo.jpg,Adobe Stock,294411251,standard,asset_license_and_download_stock
toothbrush,/images/products/toothbrush.jpg,Adobe Stock,447314456,standard,asset_license_and_download_stock
toothpaste,/images/products/toothpaste.jpg,Adobe Stock,146867848,standard,asset_license_and_download_stock
food-storage-bags,/images/products/food-storage-bags.jpg,Adobe Stock,432589752,standard,asset_license_and_download_stock
parchment-paper,/images/products/parchment-paper.jpg,Adobe Stock,271235148,standard,asset_license_and_download_stock
plastic-wrap,/images/products/plastic-wrap.jpg,Adobe Stock,404087785,standard,asset_license_and_download_stock
garbage-bags,/images/products/garbage-bags.jpg,Adobe Stock,491480096,standard,asset_license_and_download_stock
recycle-bags,/images/products/recycle-bags.jpg,Adobe Stock,317387333,standard,asset_license_and_download_stock
